Grand Prix,Date,Winner First Name,Winner Last Name,Winner Short Name,Car,Team,Laps,Time,Winner,Year
Japan,08 Oct 2000,Michael,Schumacher,MSC,Ferrari,Ferrari,53,1:29:53.435,Michael Schumacher,2000
Malaysia,22 Oct 2000,Michael,Schumacher,MSC,Ferrari,Ferrari,56,1:35:54.235,Michael Schumacher,2000
Australia,04 Mar 2001,Michael,Schumacher,MSC,Ferrari,Ferrari,58,1:38:26.533,Michael Schumacher,2001
Malaysia,18 Mar 2001,Michael,Schumacher,MSC,Ferrari,Ferrari,55,1:47:34.801,Michael Schumacher,2001
Brazil,01 Apr 2001,David,Coulthard,COU,McLaren Mercedes,McLaren,71,1:39:00.834,David Coulthard,2001
San Marino,15 Apr 2001,Ralf,Schumacher,RSC,Williams BMW,Williams,62,1:30:44.817,Ralf Schumacher,2001
Spain,29 Apr 2001,Michael,Schumacher,MSC,Ferrari,Ferrari,65,1:31:03.305,Michael Schumacher,2001
Austria,13 May 2001,David,Coulthard,COU,McLaren Mercedes,McLaren,71,1:27:45.927,David Coulthard,2001
Monaco,27 May 2001,Michael,Schumacher,MSC,Ferrari,Ferrari,78,1:47:22.561,Michael Schumacher,2001
Canada,10 Jun 2001,Ralf,Schumacher,RSC,Williams BMW,Williams,69,1:34:31.522,Ralf Schumacher,2001
Europe,24 Jun 2001,Michael,Schumacher,MSC,Ferrari,Ferrari,67,1:29:42.724,Michael Schumacher,2001
France,01 Jul 2001,Michael,Schumacher,MSC,Ferrari,Ferrari,72,1:33:35.636,Michael Schumacher,2001
Great Britain,15 Jul 2001,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,60,1:25:33.770,Mika Hakkinen,2001
Germany,29 Jul 2001,Ralf,Schumacher,RSC,Williams BMW,Williams,45,1:18:17.873,Ralf Schumacher,2001
Hungary,19 Aug 2001,Michael,Schumacher,MSC,Ferrari,Ferrari,77,1:41:49.675,Michael Schumacher,2001
Belgium,02 Sep 2001,Michael,Schumacher,MSC,Ferrari,Ferrari,36,1:08:05.002,Michael Schumacher,2001
Italy,16 Sep 2001,Juan Pablo,Montoya,MOY,Williams BMW,Williams,53,1:16:58.493,Juan Pablo Montoya,2001
United States,30 Sep 2001,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,73,1:32:42.840,Mika Hakkinen,2001
Japan,14 Oct 2001,Michael,Schumacher,MSC,Ferrari,Ferrari,53,1:27:33.298,Michael Schumacher,2001
Australia,03 Mar 2002,Michael,Schumacher,MSC,Ferrari,Ferrari,58,1:35:36.792,Michael Schumacher,2002
Malaysia,17 Mar 2002,Ralf,Schumacher,RSC,Williams BMW,Williams,56,1:34:12.912,Ralf Schumacher,2002
Brazil,31 Mar 2002,Michael,Schumacher,MSC,Ferrari,Ferrari,71,1:31:43.663,Michael Schumacher,2002
San Marino,14 Apr 2002,Michael,Schumacher,MSC,Ferrari,Ferrari,62,1:29:10.789,Michael Schumacher,2002
Spain,28 Apr 2002,Michael,Schumacher,MSC,Ferrari,Ferrari,65,1:30:29.981,Michael Schumacher,2002
Austria,12 May 2002,Michael,Schumacher,MSC,Ferrari,Ferrari,71,1:33:51.562,Michael Schumacher,2002
Monaco,26 May 2002,David,Coulthard,COU,McLaren Mercedes,McLaren,78,1:45:39.055,David Coulthard,2002
Canada,09 Jun 2002,Michael,Schumacher,MSC,Ferrari,Ferrari,70,1:33:36.111,Michael Schumacher,2002
Europe,23 Jun 2002,Rubens,Barrichello,BAR,Ferrari,Ferrari,60,1:35:07.426,Rubens Barrichello,2002
Great Britain,07 Jul 2002,Michael,Schumacher,MSC,Ferrari,Ferrari,60,1:31:45.015,Michael Schumacher,2002
France,21 Jul 2002,Michael,Schumacher,MSC,Ferrari,Ferrari,72,1:32:09.837,Michael Schumacher,2002
Germany,28 Jul 2002,Michael,Schumacher,MSC,Ferrari,Ferrari,67,1:27:52.078,Michael Schumacher,2002
Hungary,18 Aug 2002,Rubens,Barrichello,BAR,Ferrari,Ferrari,77,1:41:49.001,Rubens Barrichello,2002
Belgium,01 Sep 2002,Michael,Schumacher,MSC,Ferrari,Ferrari,44,1:21:20.634,Michael Schumacher,2002
Italy,15 Sep 2002,Rubens,Barrichello,BAR,Ferrari,Ferrari,53,1:16:19.982,Rubens Barrichello,2002
United States,29 Sep 2002,Rubens,Barrichello,BAR,Ferrari,Ferrari,73,1:31:07.934,Rubens Barrichello,2002
Japan,13 Oct 2002,Michael,Schumacher,MSC,Ferrari,Ferrari,53,1:26:59.698,Michael Schumacher,2002
Australia,09 Mar 2003,David,Coulthard,COU,McLaren Mercedes,McLaren,58,1:34:42.124,David Coulthard,2003
Malaysia,23 Mar 2003,Kimi,Raikkonen,RAI,McLaren Mercedes,McLaren,56,1:32:22.195,Kimi Raikkonen,2003
Brazil,06 Apr 2003,Giancarlo,Fisichella,FIS,Jordan Ford,Jordan,54,1:31:17.748,Giancarlo Fisichella,2003
San Marino,20 Apr 2003,Michael,Schumacher,MSC,Ferrari,Ferrari,62,1:28:12.058,Michael Schumacher,2003
Spain,04 May 2003,Michael,Schumacher,MSC,Ferrari,Ferrari,65,1:33:46.933,Michael Schumacher,2003
Austria,18 May 2003,Michael,Schumacher,MSC,Ferrari,Ferrari,69,1:24:04.888,Michael Schumacher,2003
Monaco,01 Jun 2003,Juan Pablo,Montoya,MOY,Williams BMW,Williams,78,1:42:19.010,Juan Pablo Montoya,2003
Canada,15 Jun 2003,Michael,Schumacher,MSC,Ferrari,Ferrari,70,1:31:13.591,Michael Schumacher,2003
Europe,29 Jun 2003,Ralf,Schumacher,RSC,Williams BMW,Williams,60,1:34:43.622,Ralf Schumacher,2003
France,06 Jul 2003,Ralf,Schumacher,RSC,Williams BMW,Williams,70,1:30:49.213,Ralf Schumacher,2003
Great Britain,20 Jul 2003,Rubens,Barrichello,BAR,Ferrari,Ferrari,60,1:28:37.554,Rubens Barrichello,2003
Germany,03 Aug 2003,Juan Pablo,Montoya,MOY,Williams BMW,Williams,67,1:28:48.769,Juan Pablo Montoya,2003
Hungary,24 Aug 2003,Fernando,Alonso,ALO,Renault,Renault,70,1:39:01.460,Fernando Alonso,2003
Italy,14 Sep 2003,Michael,Schumacher,MSC,Ferrari,Ferrari,53,1:14:19.838,Michael Schumacher,2003
United States,28 Sep 2003,Michael,Schumacher,MSC,Ferrari,Ferrari,73,1:33:35.997,Michael Schumacher,2003
Japan,12 Oct 2003,Rubens,Barrichello,BAR,Ferrari,Ferrari,53,1:25:11.743,Rubens Barrichello,2003
Australia,07 Mar 2004,Michael,Schumacher,MSC,Ferrari,Ferrari,58,1:24:15.757,Michael Schumacher,2004
Malaysia,21 Mar 2004,Michael,Schumacher,MSC,Ferrari,Ferrari,56,1:31:07.490,Michael Schumacher,2004
Bahrain,04 Apr 2004,Michael,Schumacher,MSC,Ferrari,Ferrari,57,1:28:34.875,Michael Schumacher,2004
San Marino,25 Apr 2004,Michael,Schumacher,MSC,Ferrari,Ferrari,62,1:26:19.670,Michael Schumacher,2004
Spain,09 May 2004,Michael,Schumacher,MSC,Ferrari,Ferrari,66,1:27:32.841,Michael Schumacher,2004
Monaco,23 May 2004,Jarno,Trulli,TRU,Renault,Renault,77,1:45:46.601,Jarno Trulli,2004
Europe,30 May 2004,Michael,Schumacher,MSC,Ferrari,Ferrari,60,1:32:35.101,Michael Schumacher,2004
Canada,13 Jun 2004,Michael,Schumacher,MSC,Ferrari,Ferrari,70,1:28:24.803,Michael Schumacher,2004
United States,20 Jun 2004,Michael,Schumacher,MSC,Ferrari,Ferrari,73,1:40:29.914,Michael Schumacher,2004
France,04 Jul 2004,Michael,Schumacher,MSC,Ferrari,Ferrari,70,1:30:18.133,Michael Schumacher,2004
Great Britain,11 Jul 2004,Michael,Schumacher,MSC,Ferrari,Ferrari,60,1:24:42.700,Michael Schumacher,2004
Germany,25 Jul 2004,Michael,Schumacher,MSC,Ferrari,Ferrari,66,1:23:54.848,Michael Schumacher,2004
Hungary,15 Aug 2004,Michael,Schumacher,MSC,Ferrari,Ferrari,70,1:35:26.131,Michael Schumacher,2004
Belgium,29 Aug 2004,Kimi,Raikkonen,RAI,McLaren Mercedes,McLaren,44,1:32:35.274,Kimi Raikkonen,2004
Italy,12 Sep 2004,Rubens,Barrichello,BAR,Ferrari,Ferrari,53,1:15:18.448,Rubens Barrichello,2004
China,26 Sep 2004,Rubens,Barrichello,BAR,Ferrari,Ferrari,56,1:29:12.420,Rubens Barrichello,2004
Japan,10 Oct 2004,Michael,Schumacher,MSC,Ferrari,Ferrari,53,1:24:26.985,Michael Schumacher,2004
Brazil,24 Oct 2004,Juan Pablo,Montoya,MOY,Williams BMW,Williams,71,1:28:01.451,Juan Pablo Montoya,2004
Australia,06 Mar 2005,Giancarlo,Fisichella,FIS,Renault,Renault,57,1:24:17.336,Giancarlo Fisichella,2005
Malaysia,20 Mar 2005,Fernando,Alonso,ALO,Renault,Renault,56,1:31:33.736,Fernando Alonso,2005
Bahrain,03 Apr 2005,Fernando,Alonso,ALO,Renault,Renault,57,1:29:18.531,Fernando Alonso,2005
San Marino,24 Apr 2005,Fernando,Alonso,ALO,Renault,Renault,62,1:27:41.921,Fernando Alonso,2005
Spain,08 May 2005,Kimi,Raikkonen,RAI,McLaren Mercedes,McLaren,66,1:27:16.830,Kimi Raikkonen,2005
Monaco,22 May 2005,Kimi,Raikkonen,RAI,McLaren Mercedes,McLaren,78,1:45:15.556,Kimi Raikkonen,2005
Europe,29 May 2005,Fernando,Alonso,ALO,Renault,Renault,59,1:31:46.648,Fernando Alonso,2005
Canada,12 Jun 2005,Kimi,Raikkonen,RAI,McLaren Mercedes,McLaren,70,1:32:09.290,Kimi Raikkonen,2005
United States,19 Jun 2005,Michael,Schumacher,MSC,Ferrari,Ferrari,73,1:29:43.181,Michael Schumacher,2005
France,03 Jul 2005,Fernando,Alonso,ALO,Renault,Renault,70,1:31:22.233,Fernando Alonso,2005
Great Britain,10 Jul 2005,Juan Pablo,Montoya,MOY,McLaren Mercedes,McLaren,60,1:24:29.588,Juan Pablo Montoya,2005
Germany,24 Jul 2005,Fernando,Alonso,ALO,Renault,Renault,67,1:26:28.599,Fernando Alonso,2005
Hungary,31 Jul 2005,Kimi,Raikkonen,RAI,McLaren Mercedes,McLaren,70,1:37:25.552,Kimi Raikkonen,2005
Turkey,21 Aug 2005,Kimi,Raikkonen,RAI,McLaren Mercedes,McLaren,58,1:24:34.454,Kimi Raikkonen,2005
Italy,04 Sep 2005,Juan Pablo,Montoya,MOY,McLaren Mercedes,McLaren,53,1:14:28.659,Juan Pablo Montoya,2005
Belgium,11 Sep 2005,Kimi,Raikkonen,RAI,McLaren Mercedes,McLaren,44,1:30:01.295,Kimi Raikkonen,2005
Brazil,25 Sep 2005,Juan Pablo,Montoya,MOY,McLaren Mercedes,McLaren,71,1:29:20.574,Juan Pablo Montoya,2005
Japan,09 Oct 2005,Kimi,Raikkonen,RAI,McLaren Mercedes,McLaren,53,1:29:02.212,Kimi Raikkonen,2005
China,16 Oct 2005,Fernando,Alonso,ALO,Renault,Renault,56,1:39:53.618,Fernando Alonso,2005
Bahrain,12 Mar 2006,Fernando,Alonso,ALO,Renault,Renault,57,1:29:46.205,Fernando Alonso,2006
Malaysia,19 Mar 2006,Giancarlo,Fisichella,FIS,Renault,Renault,56,1:30:40.529,Giancarlo Fisichella,2006
Australia,02 Apr 2006,Fernando,Alonso,ALO,Renault,Renault,57,1:34:27.870,Fernando Alonso,2006
San Marino,23 Apr 2006,Michael,Schumacher,MSC,Ferrari,Ferrari,62,1:31:06.486,Michael Schumacher,2006
Europe,07 May 2006,Michael,Schumacher,MSC,Ferrari,Ferrari,60,1:35:58.765,Michael Schumacher,2006
Spain,14 May 2006,Fernando,Alonso,ALO,Renault,Renault,66,1:26:21.759,Fernando Alonso,2006
Monaco,28 May 2006,Fernando,Alonso,ALO,Renault,Renault,78,1:43:43.116,Fernando Alonso,2006
Great Britain,11 Jun 2006,Fernando,Alonso,ALO,Renault,Renault,60,1:25:51.927,Fernando Alonso,2006
Canada,25 Jun 2006,Fernando,Alonso,ALO,Renault,Renault,70,1:34:37.308,Fernando Alonso,2006
United States,02 Jul 2006,Michael,Schumacher,MSC,Ferrari,Ferrari,73,1:34:35.199,Michael Schumacher,2006
France,16 Jul 2006,Michael,Schumacher,MSC,Ferrari,Ferrari,70,1:32:07.803,Michael Schumacher,2006
Germany,30 Jul 2006,Michael,Schumacher,MSC,Ferrari,Ferrari,67,1:27:51.693,Michael Schumacher,2006
Hungary,06 Aug 2006,Jenson,Button,BUT,Honda,Honda,70,1:52:20.941,Jenson Button,2006
Turkey,27 Aug 2006,Felipe,Massa,MAS,Ferrari,Ferrari,58,1:28:51.082,Felipe Massa,2006
Italy,10 Sep 2006,Michael,Schumacher,MSC,Ferrari,Ferrari,53,1:14:51.975,Michael Schumacher,2006
China,01 Oct 2006,Michael,Schumacher,MSC,Ferrari,Ferrari,56,1:37:32.747,Michael Schumacher,2006
Japan,08 Oct 2006,Fernando,Alonso,ALO,Renault,Renault,53,1:23:53.413,Fernando Alonso,2006
Brazil,22 Oct 2006,Felipe,Massa,MAS,Ferrari,Ferrari,71,1:31:53.751,Felipe Massa,2006
Australia,18 Mar 2007,Kimi,Raikkonen,RAI,Ferrari,Ferrari,58,1:25:28.770,Kimi Raikkonen,2007
Malaysia,08 Apr 2007,Fernando,Alonso,ALO,McLaren Mercedes,McLaren,56,1:32:14.930,Fernando Alonso,2007
Bahrain,15 Apr 2007,Felipe,Massa,MAS,Ferrari,Ferrari,57,1:33:27.515,Felipe Massa,2007
Spain,13 May 2007,Felipe,Massa,MAS,Ferrari,Ferrari,65,1:31:36.230,Felipe Massa,2007
Monaco,27 May 2007,Fernando,Alonso,ALO,McLaren Mercedes,McLaren,78,1:40:29.329,Fernando Alonso,2007
Canada,10 Jun 2007,Lewis,Hamilton,HAM,McLaren Mercedes,McLaren,70,1:44:11.292,Lewis Hamilton,2007
United States,17 Jun 2007,Lewis,Hamilton,HAM,McLaren Mercedes,McLaren,73,1:31:09.965,Lewis Hamilton,2007
France,01 Jul 2007,Kimi,Raikkonen,RAI,Ferrari,Ferrari,70,1:30:54.200,Kimi Raikkonen,2007
Great Britain,08 Jul 2007,Kimi,Raikkonen,RAI,Ferrari,Ferrari,59,1:21:43.074,Kimi Raikkonen,2007
Europe,22 Jul 2007,Fernando,Alonso,ALO,McLaren Mercedes,McLaren,60,2:06:26.358,Fernando Alonso,2007
Hungary,05 Aug 2007,Lewis,Hamilton,HAM,McLaren Mercedes,McLaren,70,1:35:52.991,Lewis Hamilton,2007
Turkey,26 Aug 2007,Felipe,Massa,MAS,Ferrari,Ferrari,58,1:26:42.161,Felipe Massa,2007
Italy,09 Sep 2007,Fernando,Alonso,ALO,McLaren Mercedes,McLaren,53,1:18:37.806,Fernando Alonso,2007
Belgium,16 Sep 2007,Kimi,Raikkonen,RAI,Ferrari,Ferrari,44,1:20:39.066,Kimi Raikkonen,2007
Japan,30 Sep 2007,Lewis,Hamilton,HAM,McLaren Mercedes,McLaren,67,2:00:34.579,Lewis Hamilton,2007
China,07 Oct 2007,Kimi,Raikkonen,RAI,Ferrari,Ferrari,56,1:37:58.395,Kimi Raikkonen,2007
Brazil,21 Oct 2007,Kimi,Raikkonen,RAI,Ferrari,Ferrari,71,1:28:15.270,Kimi Raikkonen,2007
Australia,16 Mar 2008,Lewis,Hamilton,HAM,McLaren Mercedes,McLaren,58,1:34:50.616,Lewis Hamilton,2008
Malaysia,23 Mar 2008,Kimi,Raikkonen,RAI,Ferrari,Ferrari,56,1:31:18.555,Kimi Raikkonen,2008
Bahrain,06 Apr 2008,Felipe,Massa,MAS,Ferrari,Ferrari,57,1:31:06.970,Felipe Massa,2008
Spain,27 Apr 2008,Kimi,Raikkonen,RAI,Ferrari,Ferrari,66,1:38:19.051,Kimi Raikkonen,2008
Turkey,11 May 2008,Felipe,Massa,MAS,Ferrari,Ferrari,58,1:26:49.451,Felipe Massa,2008
Monaco,25 May 2008,Lewis,Hamilton,HAM,McLaren Mercedes,McLaren,76,2:00:42.742,Lewis Hamilton,2008
Canada,08 Jun 2008,Robert,Kubica,KUB,Sauber BMW,Sauber,70,1:36:24.447,Robert Kubica,2008
France,22 Jun 2008,Felipe,Massa,MAS,Ferrari,Ferrari,70,1:31:50.245,Felipe Massa,2008
Great Britain,06 Jul 2008,Lewis,Hamilton,HAM,McLaren Mercedes,McLaren,60,1:39:09.440,Lewis Hamilton,2008
Germany,20 Jul 2008,Lewis,Hamilton,HAM,McLaren Mercedes,McLaren,67,1:31:20.874,Lewis Hamilton,2008
Hungary,03 Aug 2008,Heikki,Kovalainen,KOV,McLaren Mercedes,McLaren,70,1:37:27.067,Heikki Kovalainen,2008
Europe,24 Aug 2008,Felipe,Massa,MAS,Ferrari,Ferrari,57,1:35:32.339,Felipe Massa,2008
Belgium,07 Sep 2008,Felipe,Massa,MAS,Ferrari,Ferrari,44,1:22:59.394,Felipe Massa,2008
Italy,14 Sep 2008,Sebastian,Vettel,VET,STR Ferrari,STR,53,1:26:47.494,Sebastian Vettel,2008
Singapore,28 Sep 2008,Fernando,Alonso,ALO,Renault,Renault,61,1:57:16.304,Fernando Alonso,2008
Japan,12 Oct 2008,Fernando,Alonso,ALO,Renault,Renault,67,1:30:21.892,Fernando Alonso,2008
China,19 Oct 2008,Lewis,Hamilton,HAM,McLaren Mercedes,McLaren,56,1:31:57.403,Lewis Hamilton,2008
Brazil,02 Nov 2008,Felipe,Massa,MAS,Ferrari,Ferrari,71,1:34:11.435,Felipe Massa,2008
Australia,29 Mar 2009,Jenson,Button,BUT,Brawn Mercedes,Brawn,58,1:34:15.784,Jenson Button,2009
Malaysia,05 Apr 2009,Jenson,Button,BUT,Brawn Mercedes,Brawn,31,55:30.622,Jenson Button,2009
China,19 Apr 2009,Sebastian,Vettel,VET,RBR Renault,Red Bull Racing,56,1:57:43.485,Sebastian Vettel,2009
Bahrain,26 Apr 2009,Jenson,Button,BUT,Brawn Mercedes,Brawn,57,1:31:48.182,Jenson Button,2009
Spain,10 May 2009,Jenson,Button,BUT,Brawn Mercedes,Brawn,66,1:37:19.202,Jenson Button,2009
Monaco,24 May 2009,Jenson,Button,BUT,Brawn Mercedes,Brawn,78,1:40:44.282,Jenson Button,2009
Turkey,07 Jun 2009,Jenson,Button,BUT,Brawn Mercedes,Brawn,58,1:26:24.848,Jenson Button,2009
Great Britain,21 Jun 2009,Sebastian,Vettel,VET,RBR Renault,Red Bull Racing,60,1:22:49.328,Sebastian Vettel,2009
Germany,12 Jul 2009,Mark,Webber,WEB,RBR Renault,Red Bull Racing,60,1:36:43.310,Mark Webber,2009
Hungary,26 Jul 2009,Lewis,Hamilton,HAM,McLaren Mercedes,McLaren,70,1:38:23.876,Lewis Hamilton,2009
Europe,23 Aug 2009,Rubens,Barrichello,BAR,Brawn Mercedes,Brawn,57,1:35:51.289,Rubens Barrichello,2009
Belgium,30 Aug 2009,Kimi,Raikkonen,RAI,Ferrari,Ferrari,44,1:23:50.995,Kimi Raikkonen,2009
Italy,13 Sep 2009,Rubens,Barrichello,BAR,Brawn Mercedes,Brawn,53,1:16:21.706,Rubens Barrichello,2009
Singapore,27 Sep 2009,Lewis,Hamilton,HAM,McLaren Mercedes,McLaren,61,1:56:06.337,Lewis Hamilton,2009
Japan,04 Oct 2009,Sebastian,Vettel,VET,RBR Renault,Red Bull Racing,53,1:28:20.443,Sebastian Vettel,2009
Brazil,18 Oct 2009,Mark,Webber,WEB,RBR Renault,Red Bull Racing,71,1:32:23.081,Mark Webber,2009
Abu Dhabi,01 Nov 2009,Sebastian,Vettel,VET,RBR Renault,Red Bull Racing,55,1:34:03.414,Sebastian Vettel,2009
Bahrain,14 Mar 2010,Fernando,Alonso,ALO,Ferrari,Ferrari,49,1:39:20.396,Fernando Alonso,2010
Australia,28 Mar 2010,Jenson,Button,BUT,McLaren Mercedes,McLaren,58,1:33:36.531,Jenson Button,2010
Malaysia,04 Apr 2010,Sebastian,Vettel,VET,RBR Renault,Red Bull Racing,56,1:33:48.412,Sebastian Vettel,2010
China,18 Apr 2010,Jenson,Button,BUT,McLaren Mercedes,McLaren,56,1:46:42.163,Jenson Button,2010
Spain,09 May 2010,Mark,Webber,WEB,RBR Renault,Red Bull Racing,66,1:35:44.101,Mark Webber,2010
Monaco,16 May 2010,Mark,Webber,WEB,RBR Renault,Red Bull Racing,78,1:50:13.355,Mark Webber,2010
Turkey,30 May 2010,Lewis,Hamilton,HAM,McLaren Mercedes,McLaren,58,1:28:47.620,Lewis Hamilton,2010
Canada,13 Jun 2010,Lewis,Hamilton,HAM,McLaren Mercedes,McLaren,70,1:33:53.456,Lewis Hamilton,2010
Europe,27 Jun 2010,Sebastian,Vettel,VET,RBR Renault,Red Bull Racing,57,1:40:29.571,Sebastian Vettel,2010
Great Britain,11 Jul 2010,Mark,Webber,WEB,RBR Renault,Red Bull Racing,52,1:24:38.200,Mark Webber,2010
Germany,25 Jul 2010,Fernando,Alonso,ALO,Ferrari,Ferrari,67,1:27:38.864,Fernando Alonso,2010
Hungary,01 Aug 2010,Mark,Webber,WEB,RBR Renault,Red Bull Racing,70,1:41:05.571,Mark Webber,2010
Belgium,29 Aug 2010,Lewis,Hamilton,HAM,McLaren Mercedes,McLaren,44,1:29:04.268,Lewis Hamilton,2010
Italy,12 Sep 2010,Fernando,Alonso,ALO,Ferrari,Ferrari,53,1:16:24.572,Fernando Alonso,2010
Singapore,26 Sep 2010,Fernando,Alonso,ALO,Ferrari,Ferrari,61,1:57:53.579,Fernando Alonso,2010
Japan,10 Oct 2010,Sebastian,Vettel,VET,RBR Renault,Red Bull Racing,53,1:30:27.323,Sebastian Vettel,2010
South Korea,24 Oct 2010,Fernando,Alonso,ALO,Ferrari,Ferrari,55,2:48:20.810,Fernando Alonso,2010
Brazil,07 Nov 2010,Sebastian,Vettel,VET,RBR Renault,Red Bull Racing,71,1:33:11.803,Sebastian Vettel,2010
Abu Dhabi,14 Nov 2010,Sebastian,Vettel,VET,RBR Renault,Red Bull Racing,55,1:39:36.837,Sebastian Vettel,2010
Australia,27 Mar 2011,Sebastian,Vettel,VET,Red Bull Racing Renault,Red Bull Racing,58,1:29:30.259,Sebastian Vettel,2011
Malaysia,10 Apr 2011,Sebastian,Vettel,VET,Red Bull Racing Renault,Red Bull Racing,56,1:37:39.832,Sebastian Vettel,2011
